name,address
D. GODINE 12,D. GODINE 12
D. ŠČITARA 22,D. ŠČITARA 22
D. ŠĆITARA 24,D. ŠĆITARA 24
D. ŠĆITARA 26,D. ŠĆITARA 26
D. GERVAISA 43,D. GERVAISA 43
F. ČANDEKA 23b,F. ČANDEKA 23b
MEDOVIĆEVA 9,MEDOVIĆEVA 9
MEDOVIĆEVA 29,MEDOVIĆEVA 29
B. KAŠIĆA 24,B. KAŠIĆA 24
V. C. EMINA 10c,V. C. EMINA 10c
KREŠIMIROVA 10,KREŠIMIROVA 10
N. KATUNARA 12,N. KATUNARA 12
J. P. KAMOVA 17,J. P. KAMOVA 17
J. P. KAMOVA 37a,J. P. KAMOVA 37a
A. KOVAČIĆA 17,A. KOVAČIĆA 17
Ž. FAŠIZMA 10,Ž. FAŠIZMA 10
A. BENUSSI 8,A. BENUSSI 8
I. ČIKOVIĆA BELOG 8a,I. ČIKOVIĆA BELOG 8a
ZAGREBAČKA 9,ZAGREBAČKA 9
J. P. KAMOVA 44/a,J. P. KAMOVA 44/a
S. KRAUTZEKA 92a,S. KRAUTZEKA 92a
S. KRAUTZEKA 92b,S. KRAUTZEKA 92b
S. KRAUTZEKA 92c,S. KRAUTZEKA 92c
SIMONETTIEVA 5,SIMONETTIEVA 5
N. KATUNARA 4,N. KATUNARA 4
STROSSMAYEROVA 15,STROSSMAYEROVA 15
STROSSMAYEROVA 13,STROSSMAYEROVA 13
ŠET. XIII DIVIZIJE 15,ŠET. XIII DIVIZIJE 15
N. KATUNARA 13,N. KATUNARA 13
MAROHNIĆEVA 14,MAROHNIĆEVA 14
S. KRAUTZEKA 66B,S. KRAUTZEKA 66B
S. KRAUTZEKA 66C,S. KRAUTZEKA 66C
S. KRAUTZEKA 66D,S. KRAUTZEKA 66D
LAGINJINA 19,LAGINJINA 19
DEŽMANOVA 6,DEŽMANOVA 6
ŠIBENSKA 3,ŠIBENSKA 3
B.KAŠIĆA 20,B.KAŠIĆA 20
MIĆI VOLJAK 4,MIĆI VOLJAK 4
RASTOČINE 4,RASTOČINE 4
M. ŠPILERA 1,M. ŠPILERA 1
N.KATUNARA 6,N.KATUNARA 6
A. BENUSSI 2,A. BENUSSI 2
G.CARABINO 7,G.CARABINO 7
HEGEDUŠIĆEVA 19,HEGEDUŠIĆEVA 19
M. ALBAHARI 2,M. ALBAHARI 2
F. KURELCA 6,F. KURELCA 6
I. DEŽMANA 8,I. DEŽMANA 8
A. MEDULIĆA 6 i 8,A. MEDULIĆA 6 i 8
Z.KUČIĆA 39,Z.KUČIĆA 39
MEDOVIĆEVA 15,MEDOVIĆEVA 15
LAGINJINA 8a,LAGINJINA 8a
MEDOVIĆEVA 17,MEDOVIĆEVA 17
KREŠIMIROVA 34,KREŠIMIROVA 34
F.LA.GUARDIA 2,F.LA.GUARDIA 2
MARINA JAKOMINIĆA 3,MARINA JAKOMINIĆA 3
MARINA JAKOMINIĆA 3A,MARINA JAKOMINIĆA 3A
F.LA.GUARDIA 13,F.LA.GUARDIA 13
TIZIANOVA 35,TIZIANOVA 35
SIMONETTIEVA 1,SIMONETTIEVA 1
A. BENUSSI 4,A. BENUSSI 4
KREŠIMIROVA 58,KREŠIMIROVA 58
HRV. CRVENI KRIŽ,Brajdica 5, 51000 RIJEKA
GPZ,Ul. Đure Šporera 8, 51000, Rijeka
VOD. I KANALIZACIJA,Dolac 14, 51000 Rijeka
JH SPORT,Brajdica 5/1, 51000 RIJEKA
KD KOZALA d.o.o.,Ul. Braće Hlača 2/a, 51000, Rijeka
ROBNA KUĆA RI - ADRIA GRUPA d.o.o.,Riva 6, 51000, Rijeka
FAST FORWARD d.o.o.,Dražice 123C, 51000, Rijeka
JAVNI BILJ. PANJKOVIĆ,Ul. Ante Starčevića 4, 51000, Rijeka
3.MAJ BRODOG, teretno,Liburnijska ul. 3, 51000, Rijeka
3 MAJ BRODOG-dizalica,Liburnijska ul. 3, 51000, Rijeka
PSIH.BOLNICA LOPAČA,Lopača 11, 51218, Dražice
M – BROS. j.d.o.o.,Skrbčići 53, 51500, Skrbčići
DELTA TREND d.o.o.,Bjanižov 3, Omišalj
MAXMART,45.328269, 14.513511
DJ. VRTIĆ KASTAV,Skalini Istarskog Tabora 1, 51215, Kastav
PSC LOVORKA,Rujevica 6, Rijeka
VENTEX d.o.o.,Dražice 123C, 51000, Rijeka
EKONOMSKI FAKULTET,Ul. Ivana Filipovića 4, 51000, Rijeka
LUKA RIJEKA d.d.,Riva 1, 51000, Rijeka
PALAČA MOISE CRES,Zagrad 6, 51557, Cres
KOSTRENSKIH BORACA 1,KOSTRENSKIH BORACA 1
KOSTRENSKIH BORACA 1A,KOSTRENSKIH BORACA 1A
VBZ Knjižara,Korzo 32, 51000 RIJEKA
Žrtava Fašizma 9/h UMAG,Žrtava Fašizma 9/h UMAG
RUPA HIGIS,Rupa 90, 51214, Rupa
HOLCIM KOROMAČNO,Koromačno 7b, 52222, Koromačno
